Source Stations;Shinkansen_Line;Destination Stations;Distance; Cost (Yen) ;Durations (Min);Line;;;;;;;;;
Furukawa;Tohoku_Shinkansen;Kurikoma-Kogen;21.7; ¥1.300 ;9;Yamabiko;;;;;;;;;
Kurima-Kogen;Tohoku_Shinkansen;Ichinoseki;20.7; ¥1.390 ;9;Hayabusa;;;;;;;;;
Kurima-Kogen;Tohoku_Shinkansen;Ichinoseki;20.7; ¥1.390 ;8;Yamabiko;;;;;;;;;
Ichinoseki;Tohoku_Shinkansen;Mizusawa-Esashi;25.1; ¥1.300 ;9;Hayabusa;;;;;;;;;
Ichinoseki;Tohoku_Shinkansen;Mizusawa-Esashi;25.1; ¥1.300 ;9;Yamabiko;;;;;;;;;
Mizusawa-Esashi;Tohoku_Shinkansen;Kitakami;17.3; ¥1.210 ;7;Hayabusa;;;;;;;;;
Mizusawa-Esashi;Tohoku_Shinkansen;Kitakami;17.3; ¥1.210 ;8;Yamabiko;;;;;;;;;
Kitakami;Tohoku_Shinkansen;Shin-Hanamaki;14.5; ¥1.120 ;7;Hayabusa;;;;;;;;;
Kitakami;Tohoku_Shinkansen;Shin-Hanamaki;14.5; ¥1.120 ;7;Yamabiko;;;;;;;;;
Shin-Hanamaki;Tohoku_Shinkansen;Morioka;33.5; ¥1.560 ;12;Hayabusa;;;;;;;;;
Shin-Hanamaki;Tohoku_Shinkansen;Morioka;33.5; ¥1.560 ;12;Yamabiko;;;;;;;;;
Morioka;Tohoku_Shinkansen;Shizukuishi;16; ¥1.620 ;14;Komachi;;;;;;;;;
Morioka;Tohoku_Shinkansen;Iwate-Numakunai;32.1; ¥1.470 ;12;Hayabusa;;;;;;;;;
Shizukuishi;Tohoku_Shinkansen;Tazawako;24; ¥1.600 ;21;Komachi;;;;;;;;;
Tazawako;Tohoku_Shinkansen;Kakunodate;18.7; ¥1.820 ;13;Komachi;;;;;;;;;
Kakunodate;Tohoku_Shinkansen;Omagari;16.8; ¥1.620 ;10;Komachi;;;;;;;;;
Omagari;Tohoku_Shinkansen;Akita;51.6; ¥2.650 ;31;Komachi;;;;;;;;;
Iwate-Numakunai;Tohoku_Shinkansen;Ninohe;41.7; ¥1.470 ;12;Hayabusa;;;;;;;;;
Ninohe;Tohoku_Shinkansen;Hachinohe;33.8; ¥1.470 ;11;Hayabusa;;;;;;;;;
Hachinohe;Tohoku_Shinkansen;Shichinohe-Towada;36.2; ¥1.560 ;12;Hayabusa;;;;;;;;;
Shichinohe-Towada;Tohoku_Shinkansen;Shin-Aomori;45.5; ¥1.740 ;15;Hayabusa;;;;;;;;;
Yonezawa;Tohoku_Shinkansen;Takahata;9.9; ¥1.490 ;7;Tsubasa;;;;;;;;;
Takahata;Tohoku_Shinkansen;Kaminayama;25.9; ¥1.800 ;18;Tsubasa;;;;;;;;;
Kaminayama;Tohoku_Shinkansen;Yamagata;12.1; ¥1.530 ;9;Tsubasa;;;;;;;;;
Yamagata;Tohoku_Shinkansen;Tendo;13.4; ¥1.330 ;11;Tsubasa;;;;;;;;;
Tendo;Tohoku_Shinkansen;Sakurambo;7.7; ¥1.490 ;5;Tsubasa;;;;;;;;;
Sakurambo;Tohoku_Shinkansen;Murayama;5.4; ¥1.480 ;4;Tsubasa;;;;;;;;;
Murayama;Tohoku_Shinkansen;Oishida;13.6; ¥1.530 ;11;Tsubasa;;;;;;;;;
Oishida;Tohoku_Shinkansen;Shinjo;21.5; ¥1.510 ;15;Tsubasa;;;;;;;;;
Tokyo;Joetsu_Shinkansen;Ueno;3.7; ¥1.050 ;5;Tanigawa;;;;;;;;;
Tokyo;Joetsu_Shinkansen;Ueno;3.7; ¥1.050 ;5;Toki;;;;;;;;;
